q_num,q_statement,A,B,C,D,ans,explain,E
205,Which service should be used to estimate the costs of running a new project on AWS?,AWS TCO Calculator,AWS Simple Monthly Calculator,AWS Cost Explorer API,AWS Budgets, B,"To forecast your costs, use the AWS Cost Explorer. Use cost allocation tags to divide yourresources into groups, and then estimate the costs for each group.Reference:https://aws.amazon.com/premiumsupport/knowledge-center/estimating-aws-resource-costs/",
206,Which AWS tool will identify security groups that grant unrestricted Internet access to alimited list of ports?,AWS Organizations,AWS Trusted Advisor,AWS Usage Report,Amazon EC2 dashboard, B,https://www.amazonaws.cn/en/support/trustedadvisor/best-practices/#security,
207,Which AWS service can be used to generate alerts based on an estimated monthly bill?,AWS Config,Amazon CloudWatch,AWS X-Ray,AWS CloudTrail, B,"You can monitor your estimated AWS charges by using Amazon CloudWatch. When youenable the monitoring of estimated charges for your AWS account, the estimated chargesare calculated and sent several times daily to CloudWatch as metric data.Billing metric data is stored in the US East (N. Virginia) Region and represents worldwidecharges. This data includes the estimated charges for every service in AWS that you use,in addition to the estimated overall total of your AWS charges.Reference:https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/monitor_estimated_charges_with_cloudwatch.html",
208,Which Amazon EC2 pricing model offers the MOST significant discount when comparedto On-Demand Instances?,Partial Upfront Reserved Instances for a 1-year term,All Upfront Reserved Instances for a 1-year term,All Upfront Reserved Instances for a 3-year term,No Upfront Reserved Instances for a 3-year term, C,https://aws.amazon.com/ec2/pricing/reserved-instances/,
209,Which of the following is the responsibility of AWS?,Setting up AWS Identity and Access Management (IAM) users and groups,Physically destroying storage media at end of life,Patching guest operating systems,Configuring security settings on Amazon EC2 instances, B,"Media storage devices used to store customer data are classified by AWS as Critical andtreated accordingly, as high impact, throughout their life-cycles. AWS has exactingstandards on how to install, service, and eventually destroy the devices when they are nolonger useful. When a storage device has reached the end of its useful life, AWSdecommissions media using techniques detailed in NIST 800-88.Media that stored customer data is not removed from AWS control until it has beensecurely decommissioned.Reference: https://aws.amazon.com/compliance/data-center/controls/",
210,Which of the following is an advantage of using AWS?,AWS audits user data.,Data is automatically secure.,There is no guessing on capacity needs.,AWS manages compliance needs., C,"Stop guessing capacity â€“ Eliminate guessing on your infrastructure capacity needs. When you make a capacitydecision prior to deploying an application, you often end up either sitting on expensive idle resources ordealing with limited capacity. With cloud computing, these problems go away. You can access as much or aslittle capacity as you need, and scale up and down as required with only a few minutesâ€™ notice.",
211,Which AWS service would a customer use with a static website to achieve lower latencyand high transfer speeds?,AWS Lambda,Amazon DynamoDB Accelerator,Amazon Route 53,Amazon CloudFront, D,"Amazon CloudFront is a fast content delivery network (CDN) service that securelydelivers data, videos, applications, and APIs to customers globally with low latency, hightransfer speeds, all within a developer- friendly environment. CloudFront is integrated withAWS both physical locations that are directly connected to the AWS global infrastructure,as well as other AWS services.Reference: https://aws.amazon.com/cloudfront/",
212,Which services manage and automate application deployments on AWS? (Choose two.),AWS Elastic Beanstalk,AWS CodeCommit,AWS Data Pipeline,AWS CloudFormation, AD,https://aws.amazon.com/getting-started/tutorials/continuous-deployment-pipeline/,AWS Config
213,A user wants guidance on possible savings when migrating from on-premises to AWS.Which tool is suitable for this scenario?,AWS Budgets,Cost Explorer,AWS Total Cost of Ownership (TCO) Calculator,AWS Well-Architected Tool, C,"The TCO Calculator provides directional guidance on possible realized savings whendeploying AWS. This tool is built on an underlying calculation model, that generates a fairassessment of value that a customer may achieve given the data provided by the user.Reference: https://aws.amazon.com/tco-calculator/",
214,Which principles are used to architect applications for reliability on the AWS Cloud?(Choose two.),Design for automated failure recovery,Use multiple Availability Zones,Manage changes via documented processes,Test for moderate demand to ensure reliability, AB,C is wrong under reliability Mange documents in automation process and not document process,Backup recovery to an on-premises environment
215,What tasks should a customer perform when that customer suspects an AWS account hasbeen compromised? (Choose two.),Rotate passwords and access keys.,Remove MFA tokens.,Move resources to a different AWS Region.,Delete AWS CloudTrail Resources., AE,https://aws.amazon.com/premiumsupport/knowledge-center/potential-account-compromise/,Contact AWS Support.
216,What is an example of high availability in the AWS Cloud?,Consulting AWS technical support at any time day or night,"Ensuring an application remains accessible, even if a resource fails",Making any AWS service available for use by paying on demand,Deploying in any part of the world using AWS Regions, B,https://aws.amazon.com/blogs/startups/high-availability-for-mere-mortals/,
217,Which AWS security service protects applications from distributed denial of serviceattacks with always-on detection and automatic inline mitigations?,Amazon Inspector,AWS Web Application Firewall (AWS WAF),Elastic Load Balancing (ELB),AWS Shield, D,"AWS Shield is a managed Distributed Denial of Service (DDoS) protection service thatsafeguards applications running on AWS. AWS Shield provides always-on detection andautomatic inline mitigations that minimize application downtime and latency, so there is noneed to engage AWS Support to benefit from DDoS protection. There are two tiers of AWSShield - Standard and Advanced.Reference: https://aws.amazon.com/shield/",
218,A company wants to monitor the CPU usage of its Amazon EC2 resources.Which AWS service should the company use?,AWS CloudTrail,Amazon CloudWatch,AWS Cost and Usage report,Amazon Simple Notification Service (Amazon SNS), B,"With Basic monitoring you get data on your cloudwatch metrics every 5 minutes. Enablingdetailed monitoring, you will get the data every one minute.To check if detailed monitoring is enabled, on your EC2 Console, Select the instance, onthe lower plane, Select Monitoring.Reference: https://forums.aws.amazon.com/thread.jspa?threadID=263876",
219,What is an AWS Identity and Access Management (IAM) role?,A user associated with an AWS resource,A group associated with an AWS resource,An entity that defines a set of permissions for use with an AWS resource,An authentication credential associated with a multi-factor authentication (MFA) token, C,"AWS Identity and Access Management (IAM) enables you to manage access to AWSservices and resources securely. Using IAM, you can create and manageAWS users and groups, and use permissions to allow and deny their access to AWSresources.Reference: https://aws.amazon.com/iam/",
220,What are the advantages of Reserved Instances? (Choose two.),They provide a discount over on-demand pricing.,They provide access to additional instance types.,They provide additional networking capability.,Customers can upgrade instances as new types become available., AE,https://aws.amazon.com/premiumsupport/knowledge-center/ec2-ri-basics/,Customers can reserve capacity in an Availability Zone.
221,How do Amazon EC2 Auto Scaling groups help achieve high availability for a webapplication?,They automatically add more instances across multiple AWS Regions based on global,They automatically add or replace instances across multiple Availability Zones when the,They enable the application's static content to reside closer to end users.,They are able to distribute incoming requests across a tier of web server instances., B,"demand of the application.application needs it.When the unhealthy Availability Zone returns to a healthy state, Auto Scalingautomatically redistributes the application instances evenly across all of the designatedAvailability Zones.Reference:https://docs.aws.amazon.com/autoscaling/ec2/userguide/auto-scaling-benefits.html",
222,How can one AWS account use Reserved Instances from another AWS account?,By using Amazon EC2 Dedicated Instances,By using AWS Organizations consolidated billing,By using the AWS Cost Explorer tool,By using AWS Budgets, B,"The account that originally purchased the Reserved Instance receives the discount first. Ifthe purchasing account doesn't have any instances that match the terms of the ReservedInstance, the discount for the Reserved Instance is assigned to any matching usage onanother account in the organization.Reference:https://aws.amazon.com/premiumsupport/knowledge-center/ec2-ri-consolidated-billing/",
223,"A customer runs an On-Demand Amazon Linux EC2 instance for 3 hours, 5 minutes, and6 seconds.For how much time will the customer be billed?","3 hours, 5 minutes","3 hours, 5 minutes, and 6 seconds","3 hours, 6 minutes",4 hours, B,"https://aws.amazon.com/ec2/pricing/on-demand/ ""Pricing is per instance-hour consumed for each instance,from the time an instance is launched until it is terminated or stopped. Each partial instance-hour consumedwill be billed per-second for Linux Instances and as a full hour for all other instance types.""",
224,Which of the following AWS services provide compute resources? (Choose two.),AWS Lambda,Amazon Elastic Container Service (Amazon ECS),AWS CodeDeploy,Amazon Glacier, AB,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/compute-services.html,AWS Organizations
225,Which AWS service enables users to deploy infrastructure as code by automating theprocess of provisioning resources?,Amazon GameLift,AWS CloudFormation,AWS Data Pipeline,AWS Glue, B,"AWS CloudFormation provides a common language for you to model and provision AWSand third party application resources in your cloud environment. AWS CloudFormationallows you to use programming languages or a simple text file to model and provision, inan automated and secure manner, all the resources needed for your applications acrossall regions and accounts. This gives you a single source of truth for your AWS and thirdparty resources.Reference: https://aws.amazon.com/cloudformation/",
226,Which AWS services provide a way to extend an on-premises architecture to the AWSCloud? (Choose two.),Amazon EBS,AWS Direct Connect,Amazon CloudFront,AWS Storage Gateway, BD,https://aws.amazon.com/hybrid/,Amazon Connect
227,Which of the following allows users to provision a dedicated network connection from theirinternal network to AWS?,AWS CloudHSM,AWS Direct Connect,AWS VPN,Amazon Connect, B,"AWS Direct Connect lets you establish a dedicated network connection between yournetwork and one of the AWS Direct Connect locations. Using industry standard 802.1qVLANs, this dedicated connection can be partitioned into multiple virtual interfaces. Thisallows you to use the same connection to access public resources such as objects storedin Amazon S3 using public IP address space, and private resources such as Amazon EC2instances running within an AmazonVirtual Private Cloud (VPC) using private IP space, while maintaining network separationbetween the public and private environments. Virtual interfaces can be reconfigured atany time to meet your changing needs.Reference: https://aws.amazon.com/directconnect/",
228,Which services use AWS edge locations? (Choose two.),Amazon CloudFront,AWS Shield,Amazon EC2,Amazon RDS, AC,https://www.edureka.co/community/600/what-is-an-edge-location-in-aws,Amazon ElastiCache
229,Which service would provide network connectivity in a hybrid architecture that includesthe AWS Cloud?,Amazon VPC,AWS Direct Connect,AWS Directory Service,Amazon API Gateway, B,"Amazon Virtual Private Cloud (Amazon VPC) is a logically isolated, private section of theAWS Cloud to launch resources in a virtual data center in the cloud.Amazon VPC allows you to leverage multiple Availability Zones (AZ) within a region sothat you can build greater fault tolerance within your workloads.You have complete control.Reference:https://aws.amazon.com/blogs/publicsector/aws-networking-capabilities-gives-you-choices-for- hybrid-cloud-connectivity-but-which-service-worksbest-for-your-use-case/",
230,Which tool can be used to compare the costs of running a web application in a traditionalhosting environment to running it on AWS?,AWS Cost Explorer,AWS Budgets,AWS Cost and Usage report,AWS Total Cost of Ownership (TCO) Calculator, D,https://aws.amazon.com/tco-calculator/,
231,What is the value of using third-party software from AWS Marketplace instead of installingthird-party software on Amazon EC2? (Choose two.),Users pay for software by the hour or month depending on licensing.,AWS Marketplace enables the user to launch applications with 1-Click.,AWS Marketplace data encryption is managed by a third-party vendor.,AWS Marketplace eliminates the need to upgrade to newer software versions., AB,https://aws.amazon.com/partners/aws-marketplace/,Users can deploy third-party software without testing.
232,Which of the following is a cloud architectural design principle?,"Scale up, not out.",Loosely couple components.,Build monolithic systems.,Use commercial database software., B,"Loosely coupled architectures reduce interdependencies, so that a change or failure in acomponent does not cascade to other components.Reference:https://aws-certified-cloud-practitioner.fandom.com/wiki/1.3_List_the_different_cloud_architecture_design_principles",
233,Under the shared responsibility model; which of the following areas are the customer'sresponsibility? (Choose two.),Firmware upgrades of network infrastructure,Patching of operating systems,Patching of the underlying hypervisor,Physical security of data centers, BE,https://aws.amazon.com/compliance/shared-responsibility-model/,Configuration of the security group
234,Which service enables customers to audit and monitor changes in AWS resources?,AWS Trusted Advisor,Amazon GuardDuty,Amazon Inspector,AWS Config, D,"AWS Config is a service that enables you to assess, audit, and evaluate theconfigurations of your AWS resources. Config continuously monitors and records yourAWS resource configurations and allows you to automate the evaluation of recordedconfigurations against desired configurations. With Config, you can review changes inconfigurations and relationships between AWS resources, dive into detailed resourceconfiguration histories, and determine your overall complianceagainst the configurations specified in your internal guidelines. This enables you tosimplify compliance auditing, security analysis, change management, and operationaltroubleshooting.Reference: https://aws.amazon.com/config/",
235,Which AWS service identifies security groups that allow unrestricted access to a user'sAWS resources?,AWS CloudTrail,AWS Trusted Advisor,Amazon CloudWatch,Amazon Inspector, B,,
236,"According to the AWS shared responsibility model, who is responsible for configurationmanagement?",It is solely the responsibility of the customer.,It is solely the responsibility of AWS.,It is shared between AWS and the customer.,It is not part of the AWS shared responsibility model., C,"AWS maintains the configuration of its infrastructure devices, but a customer isresponsible for configuring their own guest operating systems, databases, andapplications.Reference: https://aws.amazon.com/compliance/shared-responsibility-model/",
237,"Which AWS service is a content delivery network that securely delivers data, video, andapplications to users globally with low latency and high speeds?",AWS CloudFormation,AWS Direct Connect,Amazon CloudFront,Amazon Pinpoint, C,"Amazon CloudFront is a fast content delivery network (CDN) service that securelydelivers data, videos, applications, and APIs to customers globally with low latency, hightransfer speeds, all within a developer- friendly environment. CloudFront is integrated withAWS both physical locations that are directly connected to the AWS global infrastructure,as well as other AWS services.Reference: https://aws.amazon.com/cloudfront/",
238,Which benefit of the AWS Cloud supports matching the supply of resources with changingworkload demands?,Security,Reliability,Elasticity,High availability, C,https://wa.aws.amazon.com/wat.map.en.html,
239,A user is running an application on AWS and notices that one or more AWS-owned IPaddresses is involved in a distributed denial-of-service (DDoS) attack.Who should the user contact FIRST about this situation?,AWS Premium Support,AWS Technical Account Manager,AWS Solutions Architect,AWS Abuse team, D,https://aws.amazon.com/premiumsupport/knowledge-center/report-aws-abuse/,
240,Which of the following are benefits of hosting infrastructure in the AWS Cloud? (Choosetwo.),There are no upfront commitments.,AWS manages all security in the cloud.,Users have the ability to provision resources on demand.,Users have access to free and unlimited storage., AC,,Users have control over the physical infrastructure.
241,What AWS service would be used to centrally manage AWS access policies acrossmultiple accounts?,AWS Service Catalog,AWS Config,AWS Trusted Advisor,AWS Organizations, D,"AWS Organizations helps you centrally govern your environment as you grow and scaleyour workloads on AWS. Whether you are a growing startup or a large enterprise,Organizations helps you to centrally manage billing; control access, compliance, andsecurity; and share resources across your AWS accounts.Reference: https://aws.amazon.com/organizations/",
242,What is AWS Trusted Advisor?,It is an AWS staff member who provides recommendations and best practices on how to,It is a network of AWS partners who provide recommendations and best practices on,It is an online tool with a set of automated checks that provides recommendations on,It is another name for AWS Technical Account Managers who provide recommendations, C,"use AWS.how to use AWS.cost optimization, performance, and security.on cost optimization, performance, and security.AWS Trusted Advisor is an online tool that provides you real time guidance to help youprovision your resources following AWS best practices.Whether establishing new workflows, developing applications, or as part of ongoingimprovement, take advantage of the recommendations provided by TrustedAdvisor on a regular basis to help keep your solutions provisioned optimally.Reference: https://aws.amazon.com/premiumsupport/technology/trusted-advisor/",
243,"Which AWS service or feature allows a company to visualize, understand, and manageAWS costs and usage over time?",AWS Budgets,AWS Cost Explorer,AWS Organizations,Consolidated billing, B,"AWS Cost Explorer has an easy-to-use interface that lets you visualize, understand, andmanage your AWS costs and usage over time.Reference: https://aws.amazon.com/aws-cost-management/aws-cost-explorer/",
244,Which AWS service offers on-demand access to AWS security and compliance reports?,AWS CloudTrail,AWS Artifact,AWS Health,Amazon CloudWatch, B,"AWS Artifact is your go-to, central resource for compliance-related information thatmatters to you. It provides on-demand access to AWS' security and compliance reportsand select online agreements.Reports available in AWS Artifact include our Service Organization Control (SOC) reports,Payment Card Industry (PCI) reports, and certifications from accreditation bodies acrossgeographies and compliance verticals that validate the implementation and operatingeffectiveness of AWS security controls.Agreements available in AWS Artifact include the Business Associate Addendum (BAA)and the Nondisclosure Agreement (NDA).Reference: https://aws.amazon.com/artifact/",
245,What are the benefits of using the AWS Cloud for companies with customers in manycountries around the world? (Choose two.), Companies can deploy applications in multiple AWS Regions to reduce latency., Amazon Translate automatically translates third-party website interfaces into multiple, Amazon CloudFront has multiple edge locations around the world to reduce latency., Amazon Comprehend allows users to build applications that can respond to user, AC,"languages.requests in many languages.around the world, which reduces latency.", Elastic Load Balancing can distribute application web traffic to multiple AWS Regions
246,"Which AWS service handles the deployment details of capacity provisioning, loadbalancing, Auto Scaling, and application health monitoring?", AWS Config, AWS Elastic Beanstalk, Amazon Route 53, Amazon CloudFront, B,"Upload your code and Elastic Beanstalk automatically handles the deployment, fromcapacity provisioning,load balancing, auto-scaling to application health monitoring. At thesame time, you retain full control over the AWS resources powering your application andcan access the underlying resources at any time.Reference: https://aws.amazon.com/elasticbeanstalk/",
247,Which AWS service provides inbound and outbound network ACLs to harden externalconnectivity to Amazon EC2?, AWS IAM, Amazon Connect, Amazon VPC, Amazon API Gateway, C,https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Security.html,
248,"When a company provisions web servers in multiple AWS Regions, what is beingincreased?", Coupling, Availability, Security, Durability, B,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-regions-availability-zones.html,
249,The pay-as-you-go pricing model for AWS services:, reduces capital expenditures., requires payment up front for AWS services.," is relevant only for Amazon EC2, Amazon S3, and Amazon RDS.", reduces operational expenditures., A,https://www.10thmagnitude.com/opex-vs-capex-the-real-cloud-computing-cost-advantage/,
250,"Under the AWS shared responsibility model, AWS is responsible for which security-relatedtask?", Lifecycle management of IAM credentials, Physical security of global infrastructure, Encryption of Amazon EBS volumes, Firewall configuration, B,https://cloudacademy.com/blog/aws-shared-responsibility-model-security/,
251,Which AWS service enables users to consolidate billing across multiple accounts?, Amazon QuickSight, AWS Organizations, AWS Budgets, Amazon Forecast, B,You can use the consolidated billing feature in AWS Organizations to consolidate billingand payment for multiple AWS accounts or multiple Amazon Internet Services Pvt. Ltd(AISPL) accounts. Every organization in AWS Organizations has a master (payer)account that pays the charges of all the member(linked) accounts.Reference:https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/consolidated-billing.html,
252,"Under the AWS shared responsibility model, which of the following is an example ofsecurity in the AWS Cloud?", Managing edge locations, Physical security, Firewall configuration, Global infrastructure, C,https://aws.amazon.com/compliance/shared-responsibility-model/,
253,How can an AWS user with an AWS Basic Support plan obtain technical assistance fromAWS?, AWS Senior Support Engineers, AWS Technical Account Managers, AWS Trusted Advisor, AWS Discussion Forums, D,https://aws.amazon.com/premiumsupport/faqs/,
254,Which of the following are pillars of the AWS Well-Architected Framework? (Choose two.), Multiple Availability Zones, Performance efficiency, Security, Encryption usage, BC,https://d1.awsstatic.com/whitepapers/architecture/AWS_Well-Architected_Framework.pdf(5), High availability
255,"After selecting an Amazon EC2 Dedicated Host reservation, which pricing option wouldprovide the largest discount?", No upfront payment, Hourly on-demand payment, Partial upfront payment, All upfront payment, D,https://aws.amazon.com/ec2/pricing/reserved-instances/pricing/,
256,What is an advantage of deploying an application across multiple Availability Zones?, There is a lower risk of service failure if a natural disaster causes a service disruption in, The application will have higher availability because it can withstand a service, There will be better coverage as Availability Zones are geographically distant and can, There will be decreased application latency that will improve the user experience., B,a given AWS Region.disruption in one Availability Zone.serve a wider area.https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-regions-availability-zones.html,
257,A Cloud Practitioner is asked how to estimate the cost of using a new application on AWS.What is the MOST appropriate response?, Inform the user that AWS pricing allows for on-demand pricing., Direct the user to the AWS Simple Monthly Calculator for an estimate., Use Amazon QuickSight to analyze current spending on-premises., Use Amazon AppStream 2.0 for real-time pricing analytics., B,https://aws.amazon.com/premiumsupport/knowledge-center/estimating-aws-resource-costs/,
258,A company wants to migrate its applications to a VPC on AWS. These applications willneed to access onpremises resources.What combination of actions will enable the company to accomplish this goal? (Choosetwo.), Use the AWS Service Catalog to identify a list of on-premises resources that can be, Build a VPN connection between an on-premises device and a virtual private gateway,in the new VP, Connect the company's on-premises data center to AWS using AWS Direct Connect., BD,migrated.C. Use Amazon Athena to query data from the on-premises database servers.the company's on-premises web servers.https://aws.amazon.com/blogs/apn/amazon-vpc-for-on-premises-network-engineers-partone/, Leverage Amazon CloudFront to restrict access to static web content provided through
259,A web application running on AWS has been spammed with malicious requests from arecurring set of IP addresses.Which AWS service can help secure the application and block the malicious traffic?, AWS IAM, Amazon GuardDuty, Amazon Simple Notification Service (Amazon SNS), AWS WAF, D,"AWS WAF is a web application firewall that helps protect web applications from commonweb exploits that could affect application availability, compromise security, or consumeexcessive resources. You can use AWS WAF to define customizable web security rulesthat control which traffic accesses your web applications. If you use AWS Shield Advanced,you can use AWS WAF at no extra cost for those protected resources and can engage theDRT to create WAF rules.Reference: https://aws.amazon.com/answers/networking/aws-ddos-attack-mitigation/",
260,Treating infrastructure as code in the AWS Cloud allows users to:, automate migration of on-premises hardware to AWS data centers., let a third party automate an audit of the AWS infrastructure., turn over application code to AWS so it can run on the AWS infrastructure., automate the infrastructure provisioning process., D,https://asperbrothers.com/blog/infrastructure-as-code-aws/,
261,A company requires a dedicated network connection between its on-premises servers andthe AWS Cloud.Which AWS service should be used?, AWS VPN, AWS Direct Connect, Amazon API Gateway, Amazon Connect, B,"You can use AWS Direct Connect to establish a private virtual interface from youron-premise network directly to your Amazon VPC, providing you with a private, highbandwidth network connection between your network and your VPC. With multiple virtualinterfaces, you can even establish private connectivity to multiple VPCs while maintainingnetwork isolation.Reference: https://aws.amazon.com/directconnect/",
262,Which AWS service can be used to query stored datasets directly from Amazon S3 usingstandard SQL?, AWS Glue, AWS Data Pipeline, Amazon CloudSearch, Amazon Athena, D,"Amazon Athena is defined as ""an interactive query service that makes it easy to analysedata directly in Amazon Simple Storage Service (Amazon S3) using standard SQL."" So,it's another SQL query engine for large data sets stored in S3. This is very similar to otherSQL query engines, such as Apache Drill. But unlike Apache Drill, Athena is limited to dataonly from Amazon's own S3 storage service. However, Athena is able to query a variety offile formats, including, but not limited to CSV, Parquet, JSON, etc.",
263,AWS CloudFormation is designed to help the user:, model and provision resources., update application code., set up data lakes., create reports for billing., A,"AWS CloudFormation provides a common language for you to model and provision AWSand third party application resources in your cloud environment. AWS CloudFormationallows you to use programming languages or a simple text file to model and provision, inan automated and secure manner, all the resources needed for your applications acrossall regions and accounts. This gives you a single source of truth for your AWS and thirdparty resources.Reference: https://aws.amazon.com/cloudformation/",
264,Which of the following is an AWS database service?, Amazon Redshift, Amazon Elastic Block Store (Amazon EBS), Amazon S3 Glacier, AWS Snowball, A,https://www.sisense.com/glossary/redshift-database/,
265,A Cloud Practitioner must determine if any security groups in an AWS account have beenprovisioned to allow unrestricted access for specific ports.What is the SIMPLEST way to do this?, Review the inbound rules for each security group in the Amazon EC2 management, Run AWS Trusted Advisor and review the findings., Open the AWS IAM console and check the inbound rule filters for open access.," In AWS Config, create a custom rule that invokes an AWS Lambda function to review", A,console to check for port 0.0.0.0/0.rules for inbound access.https://docs.aws.amazon.com/AWSEC2/latest/WindowsGuide/ec2-security-groups.html,
266,What are the benefits of developing and running a new application in the AWS Cloudcompared to onpremises? (Choose two.), AWS automatically distributes the data globally for higher durability., AWS will take care of operating the application., AWS makes it easy to architect for high availability., AWS can easily accommodate application demand changes., CD,, AWS takes care application security patching.
267,A user needs an automated security assessment report that will identify unintendednetwork access to Amazon EC2 instances and vulnerabilities on those instances.Which AWS service will provide this assessment report?, EC2 security groups, AWS Config, Amazon Macie, Amazon Inspector, D,"Amazon Inspector is an automated security assessment service that helps improve thesecurity and compliance of applications deployed on AWS. Amazon Inspectorautomatically assesses applications for exposure, vulnerabilities, and deviations from bestpractices. After performing an assessment, Amazon Inspector produces a detailed list ofsecurity findings prioritized by level of severity. These findings can be reviewed directly oras part of detailed assessment reports which are available via the Amazon Inspectorconsole or API.Reference: https://aws.amazon.com/inspector/",
268,How can a company isolate the costs of production and non-production workloads onAWS?, Create Identity and Access Management (IAM) roles for production and non-production, Use different accounts for production and non-production expenses., Use Amazon EC2 for non-production workloads and other services for production, Use Amazon CloudWatch to monitor the use of services., B,workloads.workloads.https://aws.amazon.com/answers/account-management/aws-multi-account-billing-strategy/,
269,Where can users find a catalog of AWS-recognized providers of third-party securitysolutions?, AWS Service Catalog, AWS Marketplace, AWS Quick Start, AWS CodeDeploy, B,,
270,A Cloud Practitioner needs to store data for 7 years to meet regulatory requirements.Which AWS service will meet this requirement at the LOWEST cost?, Amazon S3, AWS Snowball, Amazon Redshift, Amazon S3 Glacier, D,"S3 Glacier Deep Archive is Amazon S3's lowest-cost storage class and supportslong-term retention and digital preservation for data that may be accessed once or twice ina year. It is designed for customers --particularly those in highly-regulated industries, suchas the Financial Services, Healthcare, and Public Sectors --that retain data sets for 7-10years or longer to meet regulatory compliance requirements. S3 Glacier Deep Archive canalso be used for backup and disaster recovery use cases, and is a cost-effective andeasy-to-manage alternative to magnetic tape systems, whether they are on-premiseslibraries or offpremises services.Reference: https://aws.amazon.com/s3/storage-classes/",
271,What are the immediate benefits of using the AWS Cloud? (Choose two.), Increased IT staff., Capital expenses are replaced with variable expenses., User control of infrastructure., Increased agility., BD,, AWS holds responsibility for security in the cloud.
272,Which security service automatically recognizes and classifies sensitive data orintellectual property on AWS?, Amazon GuardDuty, Amazon Macie, Amazon Inspector, AWS Shield, B,"Amazon Macie is a security service that uses machine learning to automatically discover,classify, and protect sensitive data in AWS. Macie recognizes sensitive data such aspersonally identifiable information (PII) or intellectual property. It provides you withdashboards and alerts that give visibility into how this data is being accessed or moved.Reference: https://docs.aws.amazon.com/macie/latest/userguide/what-is-macie.html",
273,What is the purpose of AWS Storage Gateway?, It ensures on-premises data storage is 99.999999999% durable., It transports petabytes of data to and from AWS., It connects to multiple Amazon EC2 instances., It connects on-premises data storage to the AWS Cloud., D,"Moving data to the cloud is not quite as simple as flipping a switch. For companies thathave managed their own data centers or server rooms for decades, there are a few stepsto consider --and it's not always wise to pull the plug on an internal infrastructure quite soquickly. If a startup uses on-premise business servers and then experiences unexpectedgrowth, abandoning those servers doesn't make sense (even if the long-term plan is to doexactly that).AWS Storage Gateway is a way to bridge this gap for companies of any size. It's a hybridstorage option that connects on-premise storage including age-old tape backup systemsto the cloud in a way that also provides one console to access all storage configurations.Reference: https://www.techradar.com/news/what-is-aws-storage-gateway",
274,What should users do if they want to install an application in geographically isolatedlocations?, Install the application using multiple internet gateways., Deploy the application to an Amazon VPC., Deploy the application to multiple AWS Regions., Configure the application using multiple NAT gateways., C,https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-regions-availability-zones.html,
275,A system in the AWS Cloud is designed to withstand the failure of one or morecomponents.What is this an example of?, Elasticity, High Availability, Scalability, Agility, B,https://wa.aws.amazon.com/wat.question.REL_7.en.html,
276,A Cloud Practitioner needs a consistent and dedicated connection between AWSresources and an onpremises system.Which AWS service can fulfill this requirement?, AWS Direct Connect, AWS VPN, Amazon Connect, AWS Data Pipeline, A,"You can use AWS Direct Connect to establish a private virtual interface from youron-premise network directly to your Amazon VPC, providing you with a private, highbandwidth network connection between your network and your VPC. With multiple virtualinterfaces, you can even establish private connectivity to multiple VPCs while maintainingnetwork isolation.Reference: https://aws.amazon.com/directconnect/",
277,"Within the AWS shared responsibility model, who is responsible for security andcompliance?", The customer is responsible., AWS is responsible., AWS and the customer share responsibility., AWS shares responsibility with the relevant governing body., C,"Security and Compliance is a shared responsibility between AWS and the customer. Thisshared model can help relieve the customer's operational burden as AWS operates,manages and controls the components from the host operating system and virtualizationlayer down to the physical security of the facilities in which the service operates.Reference: https://aws.amazon.com/compliance/shared-responsibility-model/",
278,"To use the AWS CLI, users are required to generate:", a password policy., an access/secret key., a managed policy., an API key., B,,
279,Which AWS service is used to provide encryption for Amazon EBS?, AWS Certificate Manager, AWS Systems Manager, AWS KMS, AWS Config, C,https://docs.aws.amazon.com/kms/latest/developerguide/services-ebs.html,
280,How does AWS charge for AWS Lambda usage once the free tier has been exceeded?(Choose two.), By the time it takes for the Lambda function to execute., By the number of versions of a specific Lambda function., By the number of requests made for a given Lambda function., By the programming language that is used for the Lambda function., AC,"You are charged based on the number of requests for your functions and the duration, thetime it takes for your code to execute", By the total number of Lambda functions in an AWS account.
281,"Which of the following describes the relationships among AWS Regions, Availability Zones,and edge locations? (Choose two.)", There are more AWS Regions than Availability Zones., There are more edge locations than AWS Regions., An edge location is an Availability Zone., There are more AWS Regions than edge locations., BE,, There are more Availability Zones than AWS Regions.
282,What does AWS Shield Standard provide?, WAF rules, DDoS protection, Identity and Access Management (IAM) permissions and access to resources, Data encryption, B,"AWS Shield Standard provides protection for all AWS customers from common, mostfrequently occurring network and transport layer DDoS attacks that target your web site orapplication at no additional charge.Reference: https://aws.amazon.com/shield/pricing/",
283,A company wants to build its new application workloads in the AWS Cloud instead of usingon-premises resources.What expense can be reduced using the AWS Cloud?, The cost of writing custom-built Java or NodE. js code, Penetration testing for security, hardware required to support new applications, Writing specific test cases for third-party applications., C,https://aws.amazon.com/pricing/cost-optimization/,
